,Unnamed: 0,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank,Host Country,Is Home Host?,Is Away Host?,Rank Change Away,Rank Change Home,Home UEFA,Home CONMEBOL,Home CAF,Home AFC,Home CONCACAF,Home OFC,Away UEFA,Away CONMEBOL,Away CAF,Away AFC,Away CONCACAF,Away OFC
49,49,1994-07-13,SWE,BRA,Away,10,3,USA,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0
50,50,1994-07-16,SWE,BUL,Home,10,29,USA,0,0,-4,6,1,0,0,0,0,0,1,0,0,0,0,0
51,51,1994-07-17,BRA,ITA,tie,3,4,USA,0,0,-3,0,0,1,0,0,0,0,1,0,0,0,0,0
52,52,1998-06-10,BRA,SCO,Home,1,41,FRA,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0
53,53,1998-06-10,MAR,NOR,tie,13,7,FRA,0,0,5,-3,0,0,1,0,0,0,1,0,0,0,0,0
54,54,1998-06-11,ITA,CHI,tie,14,9,FRA,0,0,-3,2,1,0,0,0,0,0,0,1,0,0,0,0
55,55,1998-06-11,CMR,AUT,tie,49,31,FRA,0,0,-3,-1,0,0,1,0,0,0,1,0,0,0,0,0
56,56,1998-06-12,PAR,BUL,tie,29,35,FRA,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0
57,57,1998-06-12,KSA,DEN,Away,34,27,FRA,0,0,-7,4,0,0,0,1,0,0,1,0,0,0,0,0
58,58,1998-06-12,FRA,RSA,Home,18,24,FRA,1,0,-3,7,1,0,0,0,0,0,0,0,1,0,0,0
59,59,1998-06-13,ESP,NGA,Away,15,74,FRA,0,0,-5,-6,1,0,0,0,0,0,0,0,1,0,0,0
60,60,1998-06-13,KOR,MEX,Away,20,4,FRA,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0
61,61,1998-06-13,NED,BEL,tie,25,36,FRA,0,0,-4,-11,1,0,0,0,0,0,1,0,0,0,0,0
62,62,1998-06-14,ARG,JPN,Home,6,12,FRA,0,0,-1,1,0,1,0,0,0,0,0,0,0,1,0,0
